Source:,,,,,,
Date:,"sob, 28 sty 2023, 21:35:09",,,,,
Tool:,Eeschema (6.0.10),,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py,,,,,
Component Count:,77,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor
"C1, C2, C9, C15, C19, ",5,47n,C,Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4,Unpolarized capacitor,
"C3, C6, C12, ",3,1n,C,Capacitor_THT:C_Rect_L10.0mm_W5.0mm_P5.00mm_P7.50mm,Unpolarized capacitor,
"C4, C13, C17, C18, C20, ",5,1u,C,Capacitor_THT:C_Rect_L7.2mm_W8.5mm_P5.00mm_FKP2_FKP2_MKS2_MKP2,Unpolarized capacitor,
"C5, ",1,82n,C,Capacitor_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4,Unpolarized capacitor,
"C7, C8, ",2,22n,C,Capacitor_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_MKS4,Unpolarized capacitor,
"C10, ",1,10u,C,Capacitor_THT:C_Rect_L7.2mm_W8.5mm_P5.00mm_FKP2_FKP2_MKS2_MKP2,Unpolarized capacitor,
"C11, C14, ",2,680p,C,Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,Unpolarized capacitor,
"C16, ",1,1u,C_Polarized,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm,Polarized capacitor,
"C21, C22, ",2,100n,C,Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,Unpolarized capacitor,
"C23, C24, ",2,100u,C_Polarized,Capacitor_THT:CP_Radial_D8.0mm_P5.00mm,Polarized capacitor,
"D1, D2, ",2,1N4148,1N4148,Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp,"100V 0.15A standard switching diode, DO-35",
"D3, D4, ",2,Ge,1N4148,Diode_THT:D_DO-35_SOD27_P2.54mm_Vertical_AnodeUp,"100V 0.15A standard switching diode, DO-35",
"D5, ",1,1N4001,1N4001,Diode_THT:D_DO-41_SOD81_P3.81mm_Vertical_AnodeUp,"50V 1A General Purpose Rectifier Diode, DO-41",
"EQ1, ",1,10k,R_Potentiometer,varia:potek2,Potentiometer,
"FAT1, ",1,FAT,SW_SPDT,varia:potek2,"Switch, single pole double throw",
"FR1, ",1,R_Potentiometer,R_Potentiometer,varia:potek2,Potentiometer,
